Name,B,R,I,claimedtype,redshift,alias,spectrum_count,in_anderson,in_cccp,in_pantheon,in_sanders,spec_class
ASASSN-13ax,10,9,6,Dwarf Nova,,ASASSN-13ax,0,0,0,0,0,0
ASASSN-14ae,9,8,10,TDE,0.0436,ASASSN-14ae,0,0,0,0,0,0
CSS121015:004244+132827,22,28,26,SLSN-II;II/IIB;Ic;I,0.2868,CSS121015:004244+132827,27,0,0,0,0,1
CSS141118:092034+504148,98,24,24,II P;PISN;II,0.0344,CSS141118:092034+504148;iPTF14hls;AT2016bse;Gaia16aog,63,0,0,0,0,1
Gaia16agu,19,13,12,YSO,,Gaia16agu;AT2016dtj,0,0,0,0,0,0
Gaia16agv,29,27,26,YSO,,Gaia16agv;AT2016dtk,0,0,0,0,0,0
Gaia16ajq,9,32,23,AGN,,Gaia16ajq;AT2016dvz,0,0,0,0,0,0
Gaia16aka,9,28,23,,,Gaia16aka;AT2016dwk,0,0,0,0,0,0
Gaia16atn,4,4,7,Candidate,,Gaia16atn;AT2016eew,0,0,0,0,0,0
LSQ12dlf,13,16,15,SLSN-I,0.255,LSQ12dlf,18,0,0,0,0,1
LSQ12fxd,12,7,8,Ia;Ia,0.031,LSQ12fxd;CSS121114:052217-253547,9,0,0,0,0,1
LSQ12gdj,16,21,21,Ia;Ia;Ia-91T,0.03,LSQ12gdj,38,0,0,0,0,1
LSQ13ccw,10,6,5,Ibn,0.0603,LSQ13ccw,3,0,0,0,0,1
MLS150612:112519+081418,9,4,3,SLSN;II,0.101,MLS150612:112519+081418;PS15br;CSS150226:112519+081418,1,0,0,0,0,0
OGLE-2012-SN-006,10,22,75,Ibn,0.06,OGLE-2012-SN-006,19,0,0,0,0,1
PS15blq,9,12,8,IIn,0.125,PS15blq;CSS151122:173142+435334;MASTER OT J173142.37+435334.1,0,0,0,0,0,0
PS15bom,10,13,11,Ia,0.02,PS15bom,1,0,0,0,0,0
PTF12gzk,5,6,5,Ic;Ic Pec,0.01377,PTF12gzk;LSQ12dwl;CSS120825:221242+003043;PS1-12baa,89,0,0,0,0,1
SN1978K,8,12,7,II;IIn,0.001568,SN1978K,1,0,0,0,0,0
SN1989B,16,14,14,Ia,0.002425,SN1989B;AAVSO 1115+13,7,0,0,0,0,1
SN1990N,21,20,19,Ia,0.003399;0.003395,SN1990N;AAVSO 1237+13,18,0,0,0,0,1
SN1991T,46,36,22,Ia-91T;Ia;Ia Pec,0.005791;0.005791,SN1991T;AAVSO 1229+03,23,0,0,0,0,1
SN1991al,10,15,10,II P;II,0.01525;0.01494,SN1991al,0,1,0,0,0,1
SN1993K,6,5,6,II?;II P;II,0.00908;0.00949,SN1993K,1,1,0,0,0,1
SN1993L,20,16,6,Ia,0.006616,SN1993L;AAVSO 2252-36,0,0,0,0,0,0
SN1993Y,4,12,15,Ia,0.02;0.02,SN1993Y,1,0,0,0,0,0
SN1993Z,4,19,6,Ia,0.00452;0.0045;0.0045,SN1993Z;AAVSO 0905+07,9,0,0,0,0,1
SN1993ac,5,6,6,Ia;Ia-HV,0.0443;0.0487;0.0491;0.0556,SN1993ac,4,0,0,1,0,1
SN1993ae,11,9,12,Ia,0.01905;0.01905,SN1993ae,3,0,0,1,0,1
SN1994D,26,28,26,Ia,0.00149;0.00233;0.00253;0.00328;0.00149;0.00366;0.00389;0.00394;0.00412;0.00432,SN1994D;AAVSO 1229+08,76,0,0,0,0,1
SN1994I,18,20,20,Ic;Ic?,0.00156;0.00188,SN1994I;AAVSO 1325+47,43,0,0,0,0,1
SN1994M,10,10,10,Ia;Ia-HV,0.02316,SN1994M;AAVSO 1226+01,10,0,0,1,0,1
SN1994Q,7,8,8,Ia,0.02956;0.02946;0.02956,SN1994Q,9,0,0,1,0,1
SN1994S,6,6,7,Ia,0.01518;0.01518,SN1994S;AAVSO 1226+29,6,0,0,1,0,1
SN1994T,6,7,7,Ia;Ia-HV,0.03466;0.03466,SN1994T,6,0,0,0,0,1
SN1994Y,10,26,26,II;IIn,0.0085;0.0085,SN1994Y;AAVSO 1351+40,8,0,0,0,0,1
SN1994ae,22,21,18,Ia,0.004266,SN1994ae;AAVSO 1041+17,21,0,0,0,0,1
SN1995D,20,19,20,Ia,0.006561,SN1995D;AAVSO 0935+05,18,0,0,0,0,1
SN1995E,13,16,16,Ia,0.01158;0.01158,SN1995E;AAVSO 0740+73,9,0,0,0,0,1
SN1995ac,14,14,13,Ia Pec;Ia,0.0499;0.0499;0.0422;0.0438;0.0441;0.0496,SN1995ac,6,0,0,0,0,1
SN1995ad,10,14,6,II,0.00597,SN1995ad,11,0,0,0,0,1
SN1995ak,12,12,11,Ia,0.02272;0.02272,SN1995ak,7,0,0,1,0,1
SN1995al,18,18,18,Ia;Ia-HV,0.00514;0.00514;0.00577;0.00643;0.00661;0.00754;0.00756;0.00763;0.00788;0.00799,SN1995al;AAVSO 0945+34B,15,0,0,0,0,1
SN1995bd,14,13,13,Ia;Ia Pec;Ia-91T,0.0152;0.0146;0.0155,SN1995bd,9,0,0,0,0,1
SN1996C,13,13,12,Ia,0.0276;0.0264;0.0277;0.0344;0.0355;0.0378,SN1996C,6,0,0,1,0,1
SN1996X,13,13,12,Ia,0.00689;0.00627;0.00629;0.00636;0.00749,SN1996X;AAVSO 1312-26,28,0,0,0,0,1
SN1996ai,6,9,8,Ia,0.00316;0.00316;0.00373,SN1996ai;AAVSO 1306+37,12,0,0,0,0,1
SN1996bk,6,6,5,Ia,0.00681,SN1996bk;AAVSO 1343+61,1,0,0,0,0,0
SN1996bl,8,8,8,Ia;Ia-HV,0.0348;0.0349;0.0328;0.0335;0.0353;0.0383,SN1996bl,4,0,0,1,0,1
SN1996bo,11,11,11,Ia;Ia-HV,0.01728,SN1996bo;AAVSO 0143+11,5,0,0,0,0,1
SN1996bv,7,7,6,Ia;II,0.01667;0.01667,SN1996bv;2MASS J06161304+5703099,2,0,0,1,0,1
SN1997E,11,11,11,Ia,0.01354;0.01354,SN1997E,9,0,0,1,0,1
SN1997Y,6,6,6,Ia,0.01587;0.01587,SN1997Y;AAVSO 1241+55,5,0,0,1,0,1
SN1997bp,10,10,10,Ia-HV;Ia;Ia Pec,0.008309,SN1997bp;AAVSO 1241-11,14,0,0,0,0,1
SN1997bq,9,9,9,Ia;Ia-HV,0.00941;0.00926;0.0109,SN1997bq;GRB 970331;AAVSO 1008+73,13,0,0,0,0,1
SN1997br,9,9,9,Ia Pec;Ia,0.006941,SN1997br,26,0,0,0,0,1
SN1997by,5,5,7,Ia,0.045;0.045;0.045,SN1997by,3,0,0,0,0,1
SN1997cn,7,8,8,Ia-91bg;Ia;Ia Pec,0.0162;0.0175;0.0162,SN1997cn,15,0,0,0,0,1
SN1997cw,11,12,10,Ia;Ia Pec;Ia-91T,0.01765;0.01765,SN1997cw,4,0,0,0,0,1
SN1997cy,4,4,5,II;IIn;II Pec,0.0642,SN1997cy;GRB 970514,9,0,0,0,0,1
SN1997dg,8,9,7,Ia,0.0297;0.0332;0.0305;0.0381;0.0404,SN1997dg,0,0,0,1,0,1
SN1997do,6,7,6,Ia;Ia-HV,0.01012;0.01012,SN1997do;AAVSO 0719+47,16,0,0,0,0,1
SN1997dt,3,4,3,Ia,0.007318,SN1997dt;2MASS J23000297+1558504;AAVSO 2255+15,8,0,0,0,0,1
SN1997fc,3,3,3,Ia;Ia Pec,0.054001,SN1997fc,1,0,0,0,0,0
